customer_id,country,currency,account_numbers,account_name,product,account_type,available_balance,booked_balance,value_dated_balance,status,credit_limit,latest_transaction_booking_date,registration_number,dob,nationality,residence_country,occupation,gender,bank.name,bank.bic,bank.country
CUST00000,SE,SEK,"[{'value': '41181241943', '_type': 'BBAN_SE'}, {'value': 'SE804181241943', '_type': 'IBAN'}]",Ali Schellekens,PERSONKONTO,Current,4239.11,4239.11,3680.55,OPEN,2195.31,2025-04-04,229-18-1680,1999-11-11,SE,DK,Engineer,Male,Nordea,NDEASESS,NL
CUST00001,SE,SEK,"[{'value': '48703905715', '_type': 'BBAN_SE'}, {'value': 'SE8011703905715', '_type': 'IBAN'}]",Morten Søndergaard,PERSONKONTO,Savings,33186.38,33186.38,20251.00,OPEN,5924.72,2025-04-04,041019-0953,1965-04-16,SE,SE,Teacher,Other,Nordea,NDEASESS,NL
CUST00002,DK,DKK,"[{'value': '40667779376', '_type': 'BBAN_SE'}, {'value': 'SE803667779376', '_type': 'IBAN'}]",Amanda Winther-Mikkelsen,SPARKONTO,Current,51367.45,51367.45,28065.78,OPEN,7500.10,2025-04-04,863742099,1978-03-21,DK,FI,Nurse,Female,Nordea,NDEASESS,SE
CUST00003,SE,SEK,"[{'value': '42303082117', '_type': 'BBAN_SE'}, {'value': 'SE805303082117', '_type': 'IBAN'}]",Eliisa Valkama-Koivula,SPARKONTO,Current,109594.90,109594.90,85047.87,OPEN,17766.31,2025-04-04,730522-0993,2007-02-17,SE,FI,Nurse,Male,Nordea,NDEASESS,NL
CUST00004,SE,SEK,"[{'value': '44728765136', '_type': 'BBAN_SE'}, {'value': 'SE807728765136', '_type': 'IBAN'}]",Jari Auvinen-Laukkanen,SPARKONTO,Savings,7350.75,7350.75,6011.75,OPEN,3671.75,2025-04-04,730707-0800,1969-05-29,SE,FI,Consultant,Other,Nordea,NDEASESS,FI
CUST00005,FI,EUR,"[{'value': '48896606039', '_type': 'BBAN_SE'}, {'value': 'SE8011896606039', '_type': 'IBAN'}]",Lize Loreal,STUDENTKONTO,Current,105422.14,105422.14,80866.15,OPEN,3686.35,2025-04-04,103628940,1968-05-17,FI,DK,Cashier,Other,Nordea,NDEASESS,NO
CUST00006,NL,EUR,"[{'value': '40240251661', '_type': 'BBAN_SE'}, {'value': 'SE803240251661', '_type': 'IBAN'}]",Tore Christensen-Jakobsen,PERSONKONTO,Savings,33332.47,33332.47,23352.14,OPEN,4614.17,2025-04-04,141187-688J,1997-03-20,NL,NL,Artist,Male,Nordea,NDEASESS,SE
CUST00007,DK,DKK,"[{'value': '41970753705', '_type': 'BBAN_SE'}, {'value': 'SE804970753705', '_type': 'IBAN'}]",Mick Kronenberg,SPARKONTO,Current,59646.97,59646.97,37178.78,OPEN,11010.06,2025-04-04,747-32-2678,1975-04-13,DK,NL,Driver,Other,Nordea,NDEASESS,NL
CUST00008,DK,DKK,"[{'value': '49184064900', '_type': 'BBAN_SE'}, {'value': 'SE8012184064900', '_type': 'IBAN'}]",Ilari Kivimäki,SPARKONTO,Current,54618.47,54618.47,47949.07,OPEN,3480.41,2025-04-04,861204-8416,2004-03-29,DK,NO,Driver,Other,Nordea,NDEASESS,SE
CUST00009,SE,SEK,"[{'value': '44047709743', '_type': 'BBAN_SE'}, {'value': 'SE807047709743', '_type': 'IBAN'}]",Jari Jalonen,STUDENTKONTO,Current,58022.71,58022.71,48788.70,OPEN,15142.12,2025-04-04,898-92-5156,1994-01-23,SE,FI,Doctor,Female,Nordea,NDEASESS,NL
