from_account_id,from_account_name,from_account_country,from_account_business_type,from_account_expected_turnover
GB74RNID44875257607090,"Rodriguez, Myers and Giles",NO,Consulting,1021011.83
GB61JXRV87150476031654,"Hensley, Brandt and Mckenzie",SE,Textile,1491544.84
GB12IOQU60716165244897,Newton LLC,NO,Textile,1967002.12
GB57OMHZ93858433256887,Frye Ltd,DK,Consulting,1017836.1
GB23JEMB99152786535417,Contreras-Baker,NO,Textile,456226.44
GB61UYPD68392886102635,"Cohen, Saunders and Hess",SE,Consulting,1533192.37
GB84LRBB78573834898699,Mcdaniel PLC,NO,Electronics,1324378.72
GB63HRMB37817027270344,"Taylor, Brooks and Blackburn",NO,Shipping,474914.17
GB51LUGX42496056083633,Johnson and Sons,DK,Agriculture,1340940.46
GB63RUTH43708421829977,Arroyo Inc,FI,Textile,1867356.4
GB64YPVV56336217649817,"Flores, Holloway and Shah",SE,Shipping,602149.48
GB57GNCR30835754142510,Baker-Smith,SE,Electronics,467506.41
GB59ARQK76714609783526,Foster LLC,FI,Textile,129320.94
GB71ZPAU10213799416507,Fowler-Beasley,NO,Consulting,1478181.4
GB91JRIU41469811430313,"Russell, Powers and Byrd",FI,Textile,644548.51
GB51WKDQ13512262779379,"Obrien, Henson and Fisher",SE,Electronics,1211959.85
GB80WSQB63947816269713,"Robertson, Avery and Cook",SE,,1474368.06
GB08WQAP69847242901135,"Sanford, Park and Cruz",DK,Agriculture,69372.58
GB92DAQI38087951792302,Prince-Vega,DK,Agriculture,1516635.36
GB94XTQF08912008785566,Kane Group,NO,Shipping,830618.55
GB68JAMV92593971531142,Ryan-Marshall,FI,Agriculture,756877.6
GB88HCRJ48211563753899,Matthews Inc,SE,Textile,1003834.06
GB44YBNV38801502806533,Harmon-Mcintosh,NO,Consulting,718610.9
GB39XGTP52828186631915,"Day, Dean and Welch",NO,Textile,368754.54
GB16ZLZM43147033333437,"Brown, Butler and Gordon",FI,Agriculture,876606
GB41HGRE14231045638710,Waters-Gray,NO,Textile,1960867.8
GB95AQKG79973186140966,Carr LLC,SE,Electronics,107783.62
GB83RZHM98534818060745,Jones Group,SE,Consulting,1840724.13
GB77KAWY05004755696330,Chandler-Cunningham,DK,Consulting,60085.85
GB37HERZ53054907505636,Ford PLC,NO,Textile,1853815.97
GB58SSVK72343865981830,Patel-Todd,SE,Textile,1032603.62
