transaction_id,transaction_date,booking_date,value_date,payment_date,amount,currency,from_account_id,from_account_name,counterparty_account_id,counterparty_name,counterparty_country,counterparty_bank_bic,counterparty_business_type,narrative,payment_purpose_code,related_trade_invoice_id,swift_message_type,transaction_status,transaction_type_description,end_to_end_identification,is_fraud
1d8bdb66-975b-4441-8b85-b96727eaf2ec,2025-11-06,2025-11-08,2025-11-09,2025-11-11,203701.64,NOK,GB74RNID44875257607090,"Rodriguez, Myers and Giles",GB59UNYK99322750860913,Barnett and Sons,DE,NOKANO21,Agriculture,facilitate end-to-end networks,Salary,26105f2e-81b8-46f0-ac67-c0214344319d,MT103,pending,Wire Transfer,,0
84b060bf-10a8-470d-8f8a-509a60c97a82,2025-04-19,2025-04-21,2025-04-21,2025-04-22,427642.34,SEK,GB61JXRV87150476031654,"Hensley, Brandt and Mckenzie",GB06AOZA90321060059678,Buckley-Powell,DE,HANDFIHH,Consulting,incubate mission-critical niches,Salary,,MT940,billed,Direct Debit,,0
f94387bf-0550-44bf-a3ab-fd853f9f886c,2025-04-09,2025-04-11,2025-04-11,2025-04-12,464717.51,NOK,GB12IOQU60716165244897,Newton LLC,GB89BCSP82436524967772,Schmidt LLC,US,HANDFIHH,Textile,visualize killer content,Salary,,MT202,failed,Card Payment,,0
8185f0fb-960a-4be3-bd7f-11c3169c9ed7,2025-06-12,2025-06-14,2025-06-14,2025-06-15,265887.72,DKK,GB57OMHZ93858433256887,Frye Ltd,GB98VFPC29413119107640,"Daniels, Ward and Solomon",US,NOKANO21,Shipping,whiteboard out-of-the-box e-commerce,Consulting,,MT103,failed,BG-LI-LÖN,a925c79d-7d70-47ae-a691-9e597120bbb9,0
f27edb54-08cc-4604-ba95-9b36a1bc48d7,2025-07-18,2025-07-20,2025-07-20,2025-07-21,376947,NOK,GB23JEMB99152786535417,Contreras-Baker,GB36FLGI40138482504680,Walker and Sons,NO,NDEASESS,Shipping,re-intermediate cutting-edge niches,Unknown,,MT940,billed,Card Payment,,0
2c5fd5c9-de91-424d-96a3-d7507e8b8d9e,2025-06-23,2025-06-25,2025-06-26,2025-06-29,98339.3,SEK,GB61UYPD68392886102635,"Cohen, Saunders and Hess",GB53SWRJ19619560568303,"Allen, Church and Dennis",SE,NDEASESS,Electronics,streamline web-enabled web-readiness,Invoice,,MT202,failed,Card Payment,b8d8cff9-1e04-4da2-aa48-fb08956f3260,0
cf4a510c-348c-470f-bd97-4fefb5327160,2025-09-13,2025-09-15,2025-09-16,2025-09-18,280000.79,NOK,GB84LRBB78573834898699,Mcdaniel PLC,GB75GWIJ21320824464415,"Anderson, Harper and Harris",SE,HANDFIHH,Textile,streamline cross-media functionalities,Unknown,0034d2a9-fc4f-4fe9-b681-d8e68b9bf3ab,MT202,pending,Direct Debit,,0
312f6732-76ce-4e60-8676-f5ac75825307,2025-08-17,2025-08-19,2025-08-20,2025-08-23,480722.45,NOK,GB63HRMB37817027270344,"Taylor, Brooks and Blackburn",GB35DOYU65327644311519,Ford-Smith,DE,DABADKKK,Consulting,empower user-centric content,Consulting,,MT202,pending,BG-LI-LÖN,,0
ee2e6106-7991-4eae-99d3-39cef58dca77,2025-10-06,2025-10-07,2025-10-08,2025-10-11,441865.14,DKK,GB51LUGX42496056083633,Johnson and Sons,GB52TCCT12824539993503,"Carter, Henson and Barton",DE,NOKANO21,Shipping,evolve proactive action-items,Unknown,,MT103,pending,Card Payment,0cf562ec-91be-47b0-a83d-614994740b5a,0
9133eb3d-bc74-4817-8c81-7d9a76482738,2025-10-17,2025-10-19,2025-10-20,2025-10-21,313363.08,EUR,GB63RUTH43708421829977,Arroyo Inc,GB85BBMT01350724216559,"Williams, Washington and Rivera",SE,NDEASESS,Shipping,revolutionize B2C initiatives,Invoice,a85db47f-5737-4076-bb41-7f2466f335b0,MT202,billed,BG-LI-LÖN,,0
