customer_id,transaction_id,currency,transaction_date,value_date,payment_date,booking_date,type_description,transaction_type,narrative,status,counterparty_name,amount,is_fraud,card_number,message,own_message,amount_f
CUST00861,9297eaac-fcc2-4d18-92ae-f13c963bd564,DKK,2025-04-03 21:35:23,2025-04-03 21:35:23,2025-04-05 21:35:23,2025-04-07 21:35:23,Insättning,deposit,Deposit from Jönsson AB,billed,Jönsson AB,35.39,0,,,,35.39
CUST00140,624b31d7-2e5c-48ad-97c6-eb3ccb5a1c0e,EUR,2025-04-03 03:23:40,2025-04-03 03:23:40,2025-04-05 03:23:40,2025-04-05 03:23:40,Insättning,deposit,Deposit from Solberg og Sønner,billed,Solberg og Sønner,4741.37,0,,,,4741.37
CUST00155,534234cf-1974-4b71-a00f-7ed09248c8c8,EUR,2025-04-02 13:37:28,2025-04-04 13:37:28,2025-04-05 13:37:28,2025-04-06 13:37:28,Överföring,transfer,Transfer to Solheim-Knudsen,billed,Solheim-Knudsen,819.02,0,,,,819.02
CUST00650,64cfd9b9-050e-4961-b363-d272d0181ce6,EUR,2025-04-03 13:35:46,2025-04-05 13:35:46,2025-04-07 13:35:46,2025-04-07 13:35:46,Kortköp,card,Card payment at Sjögren & Olsson AB,billed,Sjögren & Olsson AB,50.82,0,2102 9039 4416 3918,,,50.82
CUST00039,89fab5cc-95b0-4f8a-964f-10b584d6b400,NOK,2025-04-02 19:09:23,2025-04-04 19:09:23,2025-04-05 19:09:23,2025-04-07 19:09:23,Överföring,transfer,Transfer to Danielsen & Søn ApS,billed,Danielsen & Søn ApS,7256.09,0,,,,7256.09
CUST00653,b1f9ab31-995e-49de-9cac-41f82e4001c1,EUR,2025-04-03 11:15:38,2025-04-05 11:15:38,2025-04-07 11:15:38,2025-04-07 11:15:38,Autogiro,autogiro,Direct debit to Meijer Groep,billed,Meijer Groep,14869.81,0,,,,14869.81
CUST00860,34cb7b9a-9338-42b3-a0fa-15b70a054950,DKK,2025-04-02 21:16:16,2025-04-04 21:16:16,2025-04-05 21:16:16,2025-04-06 21:16:16,Swish,swish,Swish payment to Peters LLC,billed,Peters LLC,2648.04,0,,Membership payment,Sports club 2025,2648.04
CUST00401,8192ef8f-1fed-4603-badc-970415a905b4,DKK,2025-04-03 02:00:18,2025-04-05 02:00:18,2025-04-06 02:00:18,2025-04-07 02:00:18,Insättning,deposit,Deposit from Fremie & Ridder,billed,Fremie & Ridder,1340.33,0,,,,1340.33
CUST00115,f23b1efb-0bd1-4d4a-8cf4-1edd3f9304fa,EUR,2025-04-03 06:33:14,2025-04-04 06:33:14,2025-04-05 06:33:14,2025-04-05 06:33:14,Autogiro,autogiro,Direct debit to Väyrynen Holopainen Osk,billed,Väyrynen Holopainen Osk,1350.48,0,,,,1350.48
CUST00118,501c93a3-b1f2-4be5-bd8d-a92b93baf4a3,EUR,2025-04-03 09:50:27,2025-04-04 09:50:27,2025-04-06 09:50:27,2025-04-06 09:50:27,Swish,swish,Swish payment to Klausen & Mathiesen ApS,billed,Klausen & Mathiesen ApS,3358.56,0,,Membership payment,Sports club 2025,3358.56
CUST00407,0b73ca1c-d1dc-41e5-a9a1-44751958a981,SEK,2025-04-03 11:13:29,2025-04-04 11:13:29,2025-04-06 11:13:29,2025-04-07 11:13:29,Swish,swish,Swish payment to Nilsson & Mathiesen A/S,billed,Nilsson & Mathiesen A/S,11876.81,0,,Membership payment,Sports club 2025,11876.81
CUST00029,8d548038-9a26-4279-a25b-74adf519ab52,SEK,2025-04-02 19:30:34,2025-04-04 19:30:34,2025-04-04 19:30:34,2025-04-05 19:30:34,Autogiro,autogiro,Direct debit to Lopez LLC,billed,Lopez LLC,459.14,0,,,,459.14
CUST00790,61bc7c56-42bb-4f63-8145-8abc8cc2e0f0,NOK,2025-04-02 19:02:58,2025-04-04 19:02:58,2025-04-05 19:02:58,2025-04-06 19:02:58,Autogiro,autogiro,"Direct debit to Howard, Anderson and Dean",billed,"Howard, Anderson and Dean",7354.45,0,,,,7354.45
CUST00452,6ce34d67-ad30-494b-8111-e681f1da833d,DKK,2025-04-03 05:01:51,2025-04-04 05:01:51,2025-04-04 05:01:51,2025-04-05 05:01:51,Överföring,transfer,Transfer to de Werd & van Kasteelen,billed,de Werd & van Kasteelen,760.35,0,,,,760.35
CUST00224,fecfdd72-44f7-40a8-bb90-9511a12b61ae,SEK,2025-04-03 22:19:53,2025-04-03 22:19:53,2025-04-04 22:19:53,2025-04-05 22:19:53,Autogiro,autogiro,Direct debit to van der Leek & Mater,billed,van der Leek & Mater,564.80,0,,,,564.8
CUST00586,274b369e-d252-4487-ab70-928729feba14,EUR,2025-04-03 15:01:52,2025-04-03 15:01:52,2025-04-05 15:01:52,2025-04-05 15:01:52,Swish,swish,Swish payment to de Bock & van de Ven,billed,de Bock & van de Ven,3005.78,0,,Membership payment,Sports club 2025,3005.78
CUST00628,1fe72d21-4526-4d62-93d8-a6e63f5c022a,EUR,2025-04-03 00:00:24,2025-04-03 00:00:24,2025-04-05 00:00:24,2025-04-07 00:00:24,Insättning,deposit,Deposit from Koskinen,billed,Koskinen,315.74,0,,,,315.74
CUST00739,5ce1bcc2-16c7-42a1-a3e2-ac175450c61f,DKK,2025-04-03 03:36:41,2025-04-03 03:36:41,2025-04-05 03:36:41,2025-04-06 03:36:41,Kortköp,card,Card payment at Hermansen ApS,billed,Hermansen ApS,10553.32,0,2039 1806 9497 4448,,,10553.32
CUST00370,f8018a19-fabf-4aef-a08d-4b5419130b90,EUR,2025-04-02 14:26:59,2025-04-02 14:26:59,2025-04-04 14:26:59,2025-04-05 14:26:59,Insättning,deposit,Deposit from Helin Rossi Oy,billed,Helin Rossi Oy,8598.81,0,,,,8598.81
CUST00234,e0218caf-ba73-4a4e-86c7-1c162cfcbb3f,EUR,2025-04-02 11:45:11,2025-04-03 11:45:11,2025-04-04 11:45:11,2025-04-05 11:45:11,Autogiro,autogiro,Direct debit to Lynn-Patton,billed,Lynn-Patton,1330.06,0,,,,1330.06
CUST00750,4830effe-dd8a-4f0a-9278-f380b3510ddc,SEK,2025-04-02 00:59:35,2025-04-02 00:59:35,2025-04-02 00:59:35,2025-04-04 00:59:35,Swish,swish,Swish payment to Hämäläinen,billed,Hämäläinen,853.25,0,,Membership payment,Sports club 2025,853.25
CUST00407,63ba6c3d-c07a-4e48-b24e-7fd651683612,SEK,2025-04-02 03:04:44,2025-04-02 03:04:44,2025-04-03 03:04:44,2025-04-04 03:04:44,Överföring,transfer,Transfer to Nilsson & Kristensen A/S,billed,Nilsson & Kristensen A/S,428.65,0,,,,428.65
CUST00646,d9815a41-e1cc-433c-9838-d1688d3a5b2d,EUR,2025-04-02 02:27:34,2025-04-03 02:27:34,2025-04-05 02:27:34,2025-04-05 02:27:34,Swish,swish,Swish payment to Shaffer-Byrd,billed,Shaffer-Byrd,12200.14,0,,Membership payment,Sports club 2025,12200.14
CUST00386,27ce46ce-b695-42bf-8379-05edafc8d769,EUR,2025-04-02 09:33:11,2025-04-04 09:33:11,2025-04-05 09:33:11,2025-04-05 09:33:11,Överföring,transfer,Transfer to Nilsen-Berntsen ASA,billed,Nilsen-Berntsen ASA,72.21,0,,,,72.21
CUST00516,eb1efddc-0d88-4933-8472-5ab7bc44a417,NOK,2025-04-02 01:28:03,2025-04-02 01:28:03,2025-04-04 01:28:03,2025-04-06 01:28:03,Överföring,transfer,Transfer to Janssen & de Groot,billed,Janssen & de Groot,7007.71,0,,,,7007.71
CUST00155,75318081-b4ef-4a29-ab12-05aa9bd3f580,EUR,2025-04-03 18:49:51,2025-04-04 18:49:51,2025-04-04 18:49:51,2025-04-06 18:49:51,Kortköp,card,Card payment at Royal Potters,billed,Royal Potters,5284.92,0,6303 7965 9394 1383,,,5284.92
CUST00309,6d820335-f3de-49dc-869c-558b496d036a,NOK,2025-04-03 09:24:59,2025-04-03 09:24:59,2025-04-03 09:24:59,2025-04-04 09:24:59,Autogiro,autogiro,Direct debit to Andersen-Lindsey,billed,Andersen-Lindsey,5663.28,0,,,,5663.28
CUST00590,4e3fd50b-f28c-435f-9641-d960dba0bdec,NOK,2025-04-03 03:25:18,2025-04-04 03:25:18,2025-04-05 03:25:18,2025-04-05 03:25:18,Överföring,transfer,Transfer to Schmidt & Søn ApS,billed,Schmidt & Søn ApS,3401.14,0,,,,3401.14
CUST00416,f1e2cce7-3d73-4c3b-bade-33a013a22a82,EUR,2025-04-02 20:17:02,2025-04-03 20:17:02,2025-04-04 20:17:02,2025-04-06 20:17:02,Insättning,deposit,Deposit from Aune og Sønner,billed,Aune og Sønner,3091.57,0,,,,3091.57
CUST00250,7e2b73ce-edf9-4b8d-8ddd-6a3e492d85a7,DKK,2025-04-02 01:15:12,2025-04-03 01:15:12,2025-04-05 01:15:12,2025-04-06 01:15:12,Överföring,transfer,Transfer to Larsson AB,billed,Larsson AB,633.45,0,,,,633.45
CUST00781,ff79f0f4-af64-4572-83d7-cafc7f702973,NOK,2025-04-02 07:53:11,2025-04-03 07:53:11,2025-04-03 07:53:11,2025-04-05 07:53:11,Insättning,deposit,Deposit from Magnusson Sundqvist AB,billed,Magnusson Sundqvist AB,13139.75,0,,,,13139.75
CUST00406,bef46f0c-d4d6-461c-a92f-d9fd30afe613,EUR,2025-04-03 08:33:20,2025-04-04 08:33:20,2025-04-05 08:33:20,2025-04-07 08:33:20,Swish,swish,Swish payment to le Briel BV,billed,le Briel BV,658.81,0,,Membership payment,Sports club 2025,658.81
CUST00318,f36c1c45-a942-44d7-bd2d-fffffe85544c,EUR,2025-04-02 10:28:08,2025-04-04 10:28:08,2025-04-04 10:28:08,2025-04-04 10:28:08,Autogiro,autogiro,Direct debit to Johansson & Karlsson HB,billed,Johansson & Karlsson HB,8216.39,0,,,,8216.39
CUST00212,acad7c07-2b24-4f63-b6f3-219272dadc21,EUR,2025-04-03 19:12:38,2025-04-03 19:12:38,2025-04-03 19:12:38,2025-04-03 19:12:38,Överföring,transfer,Transfer to Nilsson & Søn A/S,billed,Nilsson & Søn A/S,3602.88,0,,,,3602.88
